Country,Date-of-Decision,Fine-Amount,Quoted-Art
GERMANY,2018-12-17,"5,000",Art. 28 (3) GDPR
GERMANY,2019-04-12,"80,000","Art. 5 GDPR, Art. 32 GDPR, In an administrative decision dated 12 April 2019, the authority imposed a fine of 80,000 euros on a medium-sized financial services company. This company had failed to take the necessary care to preserve the integrity and confidentiality of information within the meaning of Art. 5 para. 1 lit. f GDPR when disposing of documents containing personal data of two customers. Thus, without prior anonymisation, the papers were disposed of in the general waste paper recycling system, where the documents were found by a neighbour."
GERMANY,2019-02-05,"2,500","Art. 6 GDPR, Art. 5 GDPR"
GERMANY,,2018,"Art. 33 (1) GDPR, Art. 34 (1) GDPR"
GERMANY,,118,Art. 6 GDPR
GERMANY,,2018,
GERMANY,,"50,000",Art. 6 GDPR
HUNGARY,2019-02-08,"1,560",Art. 5 (1) d) GDPR
HUNGARY,2019-02-20,"1,560","Art. 5 (1) a) GDPR, Art. 5 (1) c) GDPR"
HUNGARY,2018-12-18,"3,200","Art. 12 (4) GDPR, Art. 15 GDPR, Art. 18 (1) c) GDPR, Art. 13 GDPR"
HUNGARY,2019-02-28,"3,200","Art. 5 (1) a) GDPR, Art. 6 GDPR"
HUNGARY,2019-03-04,"3,200","Art. 5 (1) b) GDPR, Art. 5 (1) c) GDPR, Art. 13 (3) GDPR, Art. 17 (1) GDPR, Art. 6 (4) GDPR"
HUNGARY,2019-04-05,"34,375","Art. 33 (1) GDPR, Art. 33 (5) GDPR, Art. 34 (1) GDPR, NAIH imposed a fine of HUF 11,000,000 (EUR 34,375) on an undisclosed Hungarian political party for failing to notify the NAIH and relevant individuals about a data breach, and failing to document the breach according to GDPR Article 33.5. As mandated by law, the fine was based on 4% of the party's annual turnover and 2.65 % of its anticipated turnover for the coming year.



The breach was the result of a cyber attack by an anonymous hacker who accessed and disclosed information on the vulnerability of the organisation’s system – a database of more than 6,000 individuals – and the command used for the attack. The system was vulnerable to attack because of a redirection problem with the organisation's webpage. After the attacker published the command, even people with low IT knowledge were able to retrieve information from the database."
ITALY,2019-04-17,"50,000","Art. 32 GDPR, A number of websites affiliated to the Italian political party Movimento 5 Stelle are run, by means of a data processor, through the platform named Rousseau. The platform had suffered a data breach during the summer 2017 that led the Italian data protection authority, the Garante, to require the implementation of a number of security measures, in addition to the obligation to update the privacy information notice in order to give additional transparency to the data processing activities performed.While the update of the privacy information notice was timely completed, the Italian data protection authority, raised its concerns as to the lack of implementation on the Rousseau platform of some of GDPR related security measures. It is worth it to mention that the proceeding initiated before May 2018, but the Italian data protection authority issued a fine under the GDPR since the Rousseau platform had not adopted security measures required by means of an order issued after the 25th of May 2018. Interestingly, the fine was not issued against the Movimento 5 Stelle that is the data controller of the platform, but against the Rousseau association that is the data processor."
LITHUANIA,2019-05-16,"61,500","Art. 5 GDPR, Art. 32 GDPR, Art. 33 GDPR, During an inspection, the Lithuanian Data Protection Supervisory Authority found that the controller processed more data than necessary to achieve the purposes for which he was a controller. In addition, it became known that from 09 - 10 July 2018 payment data were publicly available on the internet due to inadequate technical and organisational measures. 9,000 payments with 12 banks from different countries were affected. According to the supervisory authority, a data breach notification pursuant to Art. 33 GDPR would have been necessary. The controller did not report the Data Breach."
MALTA,2019-02-18,"5,000","Art. 5 GDPR, Art. 32 GDPR"
NORWAY,,"170,000","Art. 5 (1) f) GDPR, Art. 32 GDPR"
POLAND,2019-03-26,"220,000","Art. 14 GDPR, The fine concerned the proceedings related to the activity of a company which processed the data subjects’ data obtained from publicly available sources, inter alia from the Central Electronic Register and Information on Economic Activity, and processed the data for commercial purposes. The authority verified incompliance with the information obligation in relation to natural persons conducting business activity – entrepreneurs who are currently conducting such activity or have suspended it, as well as entrepreneurs who conducted such activity in the past. The controller fulfilled the information obligation by providing the information required under Art. 14 (1) – (3) of the GDPR only in relation to the persons whose e-mail addresses it had at its disposal. In case of the remaining persons the controller failed to comply with the information obligation – as it explained in the course of the proceedings – due to high operational costs. Therefore, it presented the information clause only on its website. According to the UODO this is not sufficient.

Addendum: In the meantime, the court has cancelled the fine due to procedural errors. The amount of the fine has to be determined by the concrete number of data records concerned. However, the Office had not submitted any verifiable evidence in this regard, but had simply assumed that 6 million data sets were involved, which the data controller had denied. Therefore, important statements were missing. In particular, it was incorrect to justify the amount of the fine on the basis of general preventive considerations. Art. 58 GDPR expressly states that a fine imposed must be related to the specific facts of the case. The Polish data protection authority has already announced that the fine will be revised in a new administrative procedure."
POLAND,2019-04-25,"12,950",Art. 6 GDPR
PORTUGAL,2018-07-17,"400,000","Art. 5 (1) f) GDPR, Art. 32 GDPR"
SPAIN,,"5,000",Art. 5 (1) d) GDPR
SPAIN,2019-06-11,"250,000","Art. 5 (1) a) GDPR, Art. 7 (3) GDPR"
SPAIN,,"60,000",Art. 5 (1) f) GDPR
SPAIN,,"27,000",Art. 5 (1) d) GDPR
GERMANY,2019-05-09,"1,400","Art. 6 GDPR, The police officer, using his official user ID but without reference to official duties, queried the owner data concerning the license plate of a person who he did not know well via the Central Traffic Information System (ZEVIS) of the Federal Motor Transport Authority. Using the personal data obtained in this way, he then carried out a so-called SARS enquiry with the Federal Network Agency, in which he asked not only for the personal data of the injured parties but also for the home and mobile phone numbers stored there. Using the mobile phone number obtained in this way, the police officer contacted the injured party by telephone - without any official reason or consent given by the injured party.

Through the ZEVIS and SARS enquiry for private purposes and the use of the mobile phone number obtained in this way for private contact, the police officer has processed personal data outside the scope of the law on his own authority. This infringement is not attributable to the police officer's department, since he did not commit the act in the exercise of his official duties, but exclusively for private purposes. The prohibition of punishment under § 28 LDSG, according to which the sanctions of the GDPR cannot be imposed on public bodies, does not apply in the present case, since it was neither a case of misconduct attributable to the authority nor is the person concerned to be classified as a separate public body within the meaning of § 2 (1) or (2) LDSG in the case of the acts in question."
FRANCE,2019-06-13,"20,000","Art. 5 (1) c) GDPR, Art. 12 GDPR, Art. 13 GDPR, Art. 32 GDPR"
HUNGARY,2019-04-17,"9,400","Art. 5 (1) a) GDPR, Art. 6 GDPR, A data controller used a, in the point of view of NAIH, wrong legal basis for processing of personal data (Art. 6.1.b) for the assignment of claims."
HUNGARY,2019-04-05,"1,900",Art. 15 GDPR
BULGARIA,2019-04-08,510,"Art. 5 (1) a) GDPR, Art. 9 (1) GDPR, Art. 9 (2) GDPR, Art. 6 (1) GDPR"
BULGARIA,2019-03-26,"5,100","Art. 5 (1) a) GDPR, Art. 6 GDPR"
SPAIN,,"60,000",Art. 5 (1) f) GDPR
ROMANIA,2019-06-27,"130,000","Art. 25 (1) GDPR, Art. 5 (1) c) GDPR"
UNITED KINGDOM,2020-10-16,"22,046,000","Art. 5 (1) f) GDPR, Art. 32 GDPR, In July 2019, the ICO issued a notice of its intention to fine British Airways £183.39M for GDPR infringements which likely involve a breach of Art. 32 GDPR. The proposed fine relates to a cyber incident notified to the ICO by British Airways in September 2018. This incident in part involved user traffic to the British Airways website being diverted to a fraudulent site. Through this false site, customer details were harvested by the attackers. Personal data of approximately 500,000 customers were compromised in this incident, which is believed to have begun in June 2018. The ICO’s investigation has found that a variety of information was compromised by poor security arrangements at the company, including log in, payment card, and travel booking details as well name and address information.

In the meantime, the final fine imposed on the airline has been set at £20 million (approximately EUR 22,046,000). The ICO emphasized that when setting the amount of the fine, it also took into account the economic impact of the COVID-19 ('Coronavirus') pandemic on the airline industry."
ROMANIA,2019-07-02,"15,000",Art. 32 GDPR
UNITED KINGDOM,2020-10-30,"20,450,000",Art. 32 GDPR
HUNGARY,2019-05-23,"92,146","Art. 6 GDPR, Art. 5 (1) b) GDPR, Art. 13 GDPR"
ROMANIA,2019-07-05,"3,000",Art. 32 GDPR
THE NETHERLANDS,2019-06-18,"350,000",Art. 32 GDPR
FRANCE,2019-07-25,"180,000",Art. 32 GDPR
GREECE,2019-07-30,"150,000","Art. 5 (1) GDPR, Art. 5 (2) GDPR, Art. 6 (1) GDPR, Art. 13 (1) c) GDPR, Art. 14 (1) c) GDPR, The processing of employee personal data was based on consent. The HDPA found that consent as legal basis was inappropriate, as the processing of personal data was intended to carry out acts directly linked to the performance of employment contracts, compliance with a legal obligation to which the controller is subject and the smooth and effective operation of the company, as its legitimate interest. In addition, the company gave employees the false impression that it was processing their personal data under the legal basis of consent, while in reality it was processing their data under a different legal basis.  This was in violation of the principle of transparency and thus in breach of the obligation to provide information under Articles 13(1)(c) and 14(1)(c) of the GDPR. Lastly, in violation of the accountability principle, the company failed to provide the HDPA with evidence that it had carried out a prior assessment of the appropriate legal bases for processing employee personal data"
ROMANIA,2019-10-17,"2,500","Art. 12 GDPR, Art. 13 GDPR, Art. 5 (1) c) GDPR, Art. 6 GDPR, The sanctions were applied to the controller because he could not prove that the data subjects were informed about the processing of personal data / images through the video surveillance system, which they have been operating since 2016. And because he made the disclosure of the CNP of the employees, by displaying the Report for the training of the authorized ISCIR personnel for the year 2018 to the company notifier and could not prove the legality of the processing of the CNP, by disclosure, according to Art. 6 GDPR."
SWEDEN,2019-08-20,"18,630","Art. 5 (1) c) GDPR, Art. 9 GDPR, Art. 35 GDPR, Art. 36 GDPR, A school in Skellefteå made a trial to use facial recognition technology. The fine was imposed against the school which had used facial recognition technology to monitor the attendance of students. Even though, in general, data processing for the purpose of monitoring attendance is possible doing so with facial recognition is disproportioned to the goal to monitor attendance.  The supervisory authority is of the opinion that biometric data of students was processed which is why Art. 9 GDPR is applicable. Additionally, the authority argued that consent can not be applied since students and their guardians cannot freely decide if they/their children want to be monitored for attendance purposes. When examining if the school board can rely on any of the exemptions listed in Art. 9 (2), the supervisory authority found that this was not the case. The supervisory authority also found that there was a case of a processing activity with high risks since new technology was used to process sensitive personal data concerning children who are in a dependency position to the high school board and due to camera surveillance being used in the students everyday environment. In the view of the authority, the school board was not able to demonstrate compliance with Art. 35 GDPR and that the school board was required to consult the authority in accordance with Art. 36 (1) GDPR."
AUSTRIA,,"25,000","Art. 13 GDPR, Art. 35 GDPR, Art. 37 GDPR"
AUSTRIA,,"11,000",Art. 6 GDPR
SPAIN,2019-08-16,"60,000",Art. 6 GDPR
BULGARIA,2019-08-28,"2,600,000",Art. 32 GDPR
BULGARIA,2019-08-28,"511,000",Art. 32 GDPR
LATVIA,2019-08-26,"7,000","Art. 17 GDPR, A merchant who provides services in an online store has infringed the 'right to be forgotten' pursuant to Art. 17 GDPR when he was repeatedly requested by a data subject to delete all his personal data, in particular his/her mobile phone number, which the merchant had received as part of an order. Nevertheless, the merchant repeatedly sent advertising messages by SMS to the data subjects mobile phone number."
HUNGARY,2019-06-25,"15,150",Art. 33 GDPR
NORWAY,2019-04-29,"120,000",Art. 32 GDPR
PORTUGAL,2019-02-05,"20,000",Art. 15 GDPR
PORTUGAL,2019-03-25,"2,000",Art. 13 GDPR
GERMANY,2019-09-19,"195,407","Art. 15 GDPR, Art. 17 GDPR, Art. 21 GDPR"
POLAND,2019-09-10,"660,000",Art. 32 GDPR
BELGIUM,2019-09-17,"10,000",Art. 5 (1) c) GDPR
SPAIN,,"9,600","Art. 5 (1) a) GDPR, Art. 6 GDPR"
GREECE,2019-10-07,"200,000","Art. 5 (1) c) GDPR, Art. 25 GDPR"
GREECE,2019-10-07,"200,000","Art. 21 (3) GDPR, Art. 25 GDPR"
ROMANIA,2019-10-09,"15,000",Art. 32 GDPR
ROMANIA,2019-10-09,"20,000","Art. 32 GDPR, Art. 33 GDPR"
SPAIN,2019-10-01,"30,000","Art. 5 GDPR, Art. 6 GDPR"
CYPRUS,,2019,"Art. 5 GDPR, Art. 6 GDPR"
ROMANIA,2019-09-26,"9,000","Art. 5 (1) a) GDPR, Art. 6 (1) a) GDPR, As part of the registration process on the webseite avocatnet.ro, the operator used an unfilled checkbox, by means of which users could declare that they did not wish to receive information letters via e-mail (opt-out). Without any action, the user was automatically sent information letters via e-mail. This did not fulfil the requirements for a GDPR-compliant consent."
SLOVAKIA,,,Art. 15 GDPR
SLOVAKIA,,,"Art. 5 (1) f) GDPR, Art. 32 GDPR"
SLOVAKIA,,,"Art. 5 (1) f) GDPR, Art. 32 GDPR"
SLOVAKIA,,,"Art. 5 (1) a) GDPR, Art. 6 (1) a) GDPR"
SPAIN,2019-10-16,"60,000","Art. 5 GDPR, Art. 6 GDPR"
SPAIN,2019-10-16,"8,000","Art. 31 GDPR, Iberdrola Clientes, an electricity company, had refused to make a request to a person to change its electricity supplier because it claimed that its data would be included in the solvency list. As a result, the AEPD requested that Iberdola Clientes provide information about the possibility of adding the person's data to the solvency list to which the company did not respond. This lack of cooperation with the AEPD was a violation of Article 31 of the GDPR."
SLOVAKIA,,"40,000",Art. 32 GDPR
AUSTRIA,2019-10-29,"16,000,000","Art. 5 (1) a) GDPR, Art. 6 GDPR"
POLAND,2019-10-18,"9,380",Art. 28 GDPR
GERMANY,2021-02-23,,"Art. 5 GDPR, Art. 25 GDPR"
GERMANY,2019-10-30,,"Art. 5 GDPR, In addition to sanctioning violations of privacy by design principles (Art. 5 GDPR, Art. 25 GDPR - see separate entry), the Berlin data protection commissioner imposed further fines of between 6,000 and 17,000 euros on the company for the inadmissible storage of personal data of tenants in 15 specific individual cases."
SPAIN,2019-10-25,"36,000","Art. 5 GDPR, Art. 6 GDPR"
GERMANY,,2019,Art. 32 GDPR
POLAND,2019-10-16,"47,000",Art. 5 GDPR
SPAIN,2019-11-07,900,"Art. 13 GDPR, TODOTECNICOS24H had collected personal data without providing accurate information about data collection in its data protection declaration pursuant to Article 13 of the GDPR."
SPAIN,,"12,000",Art. 32 GDPR
SPAIN,2019-11-06,900,"Art. 13 GDPR, The company had collected personal data without providing accurate information about data collection in its data protection declaration pursuant to Article 13 of the GDPR."
SPAIN,2019-10-31,"6,000",Art. 6 GDPR
THE NETHERLANDS,2019-10-31,"900,000",Art. 32 GDPR
PORTUGAL,2019-03-19,"2,000",Art. 13 GDPR
SLOVAKIA,,"50,000",Art. 32 GDPR
SPAIN,2019-11-13,"3,000",Art. 6 GDPR
CZECH REPUBLIC,,588,"Art. 6 GDPR, Art. 7 GDPR"
CZECH REPUBLIC,,980,Art. 32 GDPR
SPAIN,2019-11-19,"60,000",Art. 32 GDPR
SPAIN,2019-11-21,"60,000",Art. 6 GDPR
ROMANIA,2019-11-25,"11,000",Art. 32 GDPR
ROMANIA,2019-11-22,"2,000","Art. 12 GDPR, Art. 17 GDPR, BNP Paribas Personal Finance did not react to a request for erasure within the period set by the GDPR."
SPAIN,2019-11-14,"30,000","Art. 5 GDPR, Telefónica had charged the complainant various fees in connection with the operation of a telephone line which the complainant had never owned. The reason for this was that the complainant's bank account was linked to another Telefónica customer, which led to the charges being debited from the complainant's account. According to the AEPD, this is contrary to the principle of accuracy as required by Article 5(1)(d) GDPR."
FRANCE,2019-11-21,"500,000","Art. 5 GDPR, Art. 6 GDPR, Art. 13 GDPR, Art. 14 GDPR, Art. 21 GDPR, Art. 31 GDPR, Art. 44 GDPR"
SPAIN,2019-11-19,"60,000",Art. 32 GDPR
LATVIA,,"150,000",Art. 6 GDPR
SPAIN,,"10,000",Art. 6 GDPR
GERMANY,2019-12-03,"105,000","Art. 32 GDPR, The fine is based on several breaches of the GDPR in connection with a patient mix-up at the admission of the patient. This resulted in incorrect invoicing and revealed structural technical and organisational deficits in the hospital's patient management."
BELGIUM,2019-11-28,"5,000",Art. 6 GDPR
BELGIUM,2019-11-28,"5,000",Art. 6 GDPR
ROMANIA,2019-12-04,"20,000","Art. 32 GDPR, The Romanian data protection authority imposed a sanction on an airline because it has not taken appropriate measures to ensure that any natural person acting under its supervision processes personal data in accordance with its instructions (Article 32(4) of the GDPR). This resulted in an employee having unauthorized access to the booking application and being able to photograph a list with the personal data of 22 passengers/customers to disclose this list on the Internet."
ROMANIA,2019-11-28,,Art. 32 GDPR
ROMANIA,2019-11-29,"2,500","Art. 15 GDPR, Art. 6 GDPR, Art. 32 GDPR, Royal President refused a request for access to personal data pursuant to Article 15 of the GDPR and disclosed personal data without the consent of the data subjects. In addition, Royal President has not taken appropriate technical or organisational measures to ensure the security of the data processed."
GERMANY,2020-11-11,"900,000","Art. 32 GDPR, Original Fine Summary: The Controller is a company offering telecommunication services. A caller could obtain extensive information on personal customer data from the company's customer service department simply by entering a customer's name and date of birth. In this authentication procedure, the BfDI aws a violation of Article 32 GDPR, according to which a company is obliged to take appropriate technical and organisational measures to systematically protect the processing of personal data. Due to the company's cooperation with the data protection authority, the fine imposed was at the lower end of the scale. -- Update: On November 11th, 2020, after an appeal against the fine, the Bonn District Court decided that although the fine is justified in principle, it is unreasonably high. The chamber has therefore reduced the fine from originally EUR 9,55 million to EUR 900,000. One of the reasons for the reduction was that the company's procedure for authenticating customers used for its telephone hotline (requesting only the name and date of birth of the caller) had remained unobjected for a long time and therefore the company lacked a concrete awareness of the problem which leads to the fact that the concrete culpability in this case had to be classified as rather low. Furthermore, according to the court, the violation was also rather minor, as it could not lead to a massive data leakage."
GERMANY,2019-12-09,"10,000","Art. 37 GDPR, Despite repeated requests of the BfDI the company (an internet provider) did not comply with its legal obligation under Article 37 GDPR to appoint a data protection officer."
SPAIN,,2019,Art. 6 (1) GDPR
SPAIN,,2019,Art. 5 (1) f) GDPR
SPAIN,,2019,Art. 32 GDPR
SPAIN,,2019,Art. 5 (1) a) GDPR
SPAIN,,2019,"Art. 5 (1) f) GDPR, Art. 32 GDPR"
SPAIN,,2019,Art. 6 GDPR
SPAIN,,2019,Art. 5 (1) c) GDPR
SPAIN,,2019,Art. 5 (1) c) GDPR
SPAIN,,2019,Art. 5 (1) c) GDPR
HUNGARY,,"15,100","Art. 6 (1) GDPR, The city based its video surveillance practice on its legitimate interests (Art. 6 (1) f GDPR). However, accordingt to Art. 6 (1) subparagraph 2 this legal basis shall not apply to processing carried out by public authorities in the performance of their tasks. The processing could not be based on another legal basis."
BULGARIA,2019-09-03,"28,100","Art. 6 (1) GDPR, Art. 58 (2) e) GDPR"
SPAIN,2019-11-28,"75,000",Art. 6 GDPR
SPAIN,2019-12-03,"1,500",Art. 13 GDPR
GERMANY,,2019,Art. 6 GDPR
SWEDEN,2019-12-16,"35,000",Art. 6 GDPR
ROMANIA,2019-12-16,"2,000",Art. 58 GDPR
SPAIN,2019-12-03,"5,000",Art. 6 GDPR
SPAIN,2019-12-10,"1,600","Art. 5 (1) c) GDPR, Art. 13 GDPR"
ROMANIA,2019-11-26,"3,000",Art. 58 GDPR
ROMANIA,2019-12-02,"2,000",Art. 58 GDPR
HUNGARY,2019-10-24,"7,400","Art. 32 GDPR, Art. 33 GDPR"
SPAIN,2019-11-19,"6,000",Art. 5 (1) c) GDPR
SPAIN,2019-11-06,"60,000",Art. 6 GDPR
SPAIN,2019-10-23,"60,000",Art. 5 (1) f) GDPR
THE NETHERLANDS,2019-10-31,"50,000",Art. 5 GDPR
GREECE,2019-10-18,"20,000",Art. 21 GDPR
ROMANIA,2019-12-18,"2,000",Art. 32 GDPR
HUNGARY,2019-12-11,"1,430","Art. 5 GDPR, Art. 6 GDPR, Art. 13 GDPR, Art. 24 GDPR, Art. 25 GDPR"
UNITED KINGDOM,2019-12-17,"320,000",Art. 32 GDPR
BELGIUM,2019-12-17,"2,000","Art. 12 GDPR, Art. 15 GDPR, Art. 17 GDPR"
ROMANIA,2019-11-29,500,"Art. 32 GDPR, The association used video surveillance systems without proper information according to Art. 13 GDPR and without adequate security measures regarding the persons having access to the system."
SPAIN,2019-12-10,"5,000",Art. 32 GDPR
BULGARIA,2019-09-03,"1,022","Art. 6 (1) GDPR, Art. 25 (1) GDPR"
BULGARIA,2019-09-03,"5,113","Art. 6 (1) GDPR, Art. 25 (1) GDPR"
BULGARIA,2019-09-03,"11,760",Art. 6 (1) GDPR
BULGARIA,2019-09-03,"1,121","Art. 12 (4) GDPR, Art. 15 GDPR"
BULGARIA,2019-10-28,511,"Art. 12 (3) GDPR, Art. 15 (1) GDPR"
BULGARIA,2019-10-07,511,Art. 31 GDPR
BULGARIA,2019-10-08,"5,112","Art. 5 (1) GDPR, Art. 6 (1) GDPR"
BELGIUM,2019-12-17,"15,000","Art. 6 GDPR,
Art. 12 GDPR, Art. 13 GDPR, An operator of a website for legal news had the privacy statement only available in English, although it was also addressed to a Dutch and French speaking audience. In addition, the first version of the privacy statement was not easily accessible and did not mention the legal basis for data processing under the GDPR. Furthermore, with reference to the ECJ ruling on Planet 49, it was determined that effective consent was required for the use of Google Analytics."
GERMANY,,2019,Art. 5 GDPR
SPAIN,2020-01-07,"44,000",Art. 5 (1) f) GDPR
SPAIN,2020-01-09,"3,000",Art. 58 GDPR
SPAIN,2020-01-07,"75,000",Art. 6 GDPR
SPAIN,2020-01-07,"75,000",Art. 6 GDPR
SPAIN,2020-01-07,"10,000",Art. 6 GDPR
ROMANIA,2019-12-10,"14,000","Art. 5 GDPR, Art. 25 GDPR, Art. 32 GDPR, Art. 33 GDPR, The sanctions were applied as a result of a complaint alleging that Hora Credit IFN SA transmitted documents containing personal data of another person to a wrong e-mail address. Following the investigation it was found that Hora Credit IFN SA processed the data without providing effective mechanisms for verifying and validating the accuracy of the data collected processed according to the principles set out in art. 5 of the GDPR. It was also found that the operator did not take sufficient security measures for personal data, according to art. 25 and 32 of the GDPR, so as to avoid unauthorized and accessible disclosure of personal data to third parties. At the same time, Hora Credit IFN SA did not notify the Supervisory Authority of the security incident that was brought to its notice, according to art. 33 of the GDPR, within 72 hours from the date it became aware of it. The fine consists of three partial fines of EUR 3000, EUR 10000 and EUR 1000."
ROMANIA,2019-12-16,"6,000","Art. 5 GDPR, Art. 6 GDPR, Art. 7 GDPR, Art. 21 GDPR"
CYPRUS,2020-01-13,"9,000",Art. 32 GDPR
CYPRUS,2019-10-25,"70,000","Art. 6 GDPR, Art. 9 GDPR, The decision found that the use of the Bradford factor for profiling and monitoring sick leave constituted unlawful processing of personal data in breach of Article 6 and Article 9 of the GDPR. Three fines of EUR 70,000, EUR 10,000 and EUR 2,000 were imposed for this infringement. The decision was announced on 2020/10/13."
CYPRUS,2019-10-25,"10,000","Art. 6 GDPR, Art. 9 GDPR, The decision found that the use of the Bradford factor for profiling and monitoring sick leave constituted unlawful processing of personal data in breach of Article 6 and Article 9 of the GDPR. Three fines of EUR 70,000, EUR 10,000 and EUR 2,000 were imposed for this infringement. The decision was announced on 2020/10/13."
CYPRUS,2019-10-25,"2,000","Art. 6 GDPR, Art. 9 GDPR, The decision found that the use of the Bradford factor for profiling and monitoring sick leave constituted unlawful processing of personal data in breach of Article 6 and Article 9 of the GDPR. Three fines of EUR 70,000, EUR 10,000 and EUR 2,000 were imposed for this infringement. The decision was announced on 2020/10/13."
CYPRUS,2020-01-13,"1,000",Art. 6 GDPR
GREECE,2020-01-13,"15,000","Art. 5 (1) a), (2) GDPR"
ROMANIA,2019-12-13,"5,000","Art. 5 (1) GDPR, Art. 6 GDPR, Art. 7 GDPR"
ROMANIA,2019-12-13,"5,000","Art. 5 (1) GDPR, Art. 6 GDPR, Art. 7 GDPR, Art. 9 GDPR"
ITALY,2019-12-11,"8,500,000","Art. 5 GDPR, Art. 6 GDPR, Art. 17 GDPR, Art. 21 GDPR"
ITALY,2019-12-11,"3,000,000","Art. 5 GDPR, Art. 6 GDPR"
GREECE,2019-12-19,"150,000","Art. 5 GDPR, Art. 6 GDPR, Art. 32 GDPR"
ITALY,2020-01-15,"27,800,000","Art. 5 GDPR, Art. 6 GDPR, Art. 17 GDPR, Art. 21 GDPR, Art. 32 GDPR"
GERMANY,2019-10-24,"100,000","Art. 5 GDPR, Art. 32 GDPR"
SPAIN,2020-01-14,"3,600",Art. 5 GDPR
